text,location
hi @jordanspieth - looking at the url - do you use @ifttt?!  don't typically see an advanced user on the @pgatour! https://t.co/h68ou5pe9l,4
yall lmfaoo right when the chorus came on a tear rolled down his face https://t.co/ayuqdptvse,8
@sydniejr except once the hallmark movies start i won't get anything done!! ______,35
"me the week of brandon's birthday: there's no such thing as a birthday week u weirdo
me november 1st: it's my birthday month bow down to me",21
and got more yards and points than the jets gave up all season. https://t.co/gdfkaoxcdd,36
here's how @sesamestreet's julia will combat the stigma associated with #autism: https://t.co/idkjyk84mk #ece,45
"@toastburglar @wordwizard85 
the trick is making sure you keep your lungs inflated for cushioning.",41
@andyrobsontips cardiff or drew with the over 1.5 match goals sounds good to me,31
video: james bond spectre world premiere: after months of build up spectre the latest_ https://t.co/uv38wlg5be #uk,31
the politics of evidence + results in international development. https://t.co/t7n2c2ttbf - looks great. h/t @duncan_ids @rosalindeyben +,46
the wildcats pay a visit to fain elementary school! https://t.co/xjx8gnyrhj,42
@tekifyuk i am trying to unbrick my kindle fire with a red screen. i followed your youtube video and am using the unbrick tool.,43
if you say someone like wale or meek or wiz has gotten big in the past five years you're a moron. they were big in the mixtape game.,8
goodword @ the honey hive gallery https://t.co/htzxihkoda,4
no water to frisco subdivision: a contractor working in the area cut a water line and crews are now_ https://t.co/mvsxieka21 #dallas #news,42
"thanks to the #aca more adults are eligible for #medicaid in #illinois &amp; able to apply online.  @younginvincible

https://t.co/cfwllqv4k9",12
@paulmgardner @cwellssun i knew a guy who was in the military who used it because it doesn't show up on drug tests.,19
if ion work one job  i work the other .,17
women۪s soccer extends streak stays atop conference: on a rainy night in seattle the no. 4 stanford women۪s_ https://t.co/7wvynzsgqa,4
@megwacha actually the uc announcement seems like it could be related to that.,4
photo: the fellowship of the ring: book one in the lord of the rings_: https://t.co/4a1v5wddd4 https://t.co/hyosq3fr5e,3
photo: snow queen - vlad barbe | kids &amp; family |716822518: the snow queen is a fairy tale by hans christian... https://t.co/cc4qqnhvjy,31
@bentorkington @nzinlandrevenue ...don't bother with kiwisaver until the kickstart fund is restored,36
whoa whoa whoa hold up there's a dragon's lair movie kickstarter????? https://t.co/jdbdrler93,39
@evinelive yep just had to wait until the next day,13
for the first time the @ameracadpedsis recommending that pediatricians screen all children for food insecurity https://t.co/6etenmyvao,42
